0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
B10000,コミック,9784063803662,イシュタルの娘－小野於通伝－　,大和　和紀　著　　　,講談社　　　　,20121113,467,2401,聖蹟桜ヶ丘店,20130524,20121116,2,2,1934
B10000,コミック,9784063872026,主に泣いてます　　１０　　　　,東村　アキコ　著　　,講談社　　　　,20130322,552,2401,聖蹟桜ヶ丘店,20130914,20130830,10,2,2126
B10000,コミック,9784088462783,君に届け　　　６　　　　　　　,椎名　軽穂　著　　　,集英社　　　　,20080325,390,2401,聖蹟桜ヶ丘店,20110614,20130715,226,2,47939
B10000,コミック,9784088465395,君に届け　　１１　　　　　　　,椎名　軽穂　著　　　,集英社　　　　,20100611,400,2401,聖蹟桜ヶ丘店,20121208,20130623,212,2,53211
B10000,コミック,9784088465609,ヒロイン失格　　　１　　　　　,幸田　もも子　著　　,集英社　　　　,20100825,400,2401,聖蹟桜ヶ丘店,20130628,20121223,29,2,7166
B10000,コミック,9784088465685,君に届け　　１２　　　　　　　,椎名　軽穂　著　　　,集英社　　　　,20100924,400,2401,聖蹟桜ヶ丘店,20121208,20130623,200,2,57028
B10000,コミック,9784088466354,君に届け　　１３　　　　　　　,椎名　軽穂　著　　　,集英社　　　　,20110311,400,2401,聖蹟桜ヶ丘店,20121208,20130201,190,2,54531
B10000,コミック,9784088466958,君に届け　　１４　　　　　　　,椎名　軽穂　著　　　,集英社　　　　,20110913,400,2401,聖蹟桜ヶ丘店,20130912,20130922,184,2,53899
B10000,コミック,9784088672298,つばめのすぅ　　　２　　　　　,鳥海　りさこ　著　　,集英社　　　　,20121015,400,2401,聖蹟桜ヶ丘店,20130912,20130804,1,2,188
B10000,コミック,9784091243232,月光条例　　２３　　　　　　　,藤田　和日郎　著　　,小学館　　　　,20130618,419,2401,聖蹟桜ヶ丘店,20130618,20130826,7,2,2953
B10000,コミック,9784091243478,アラタカンガタリ～革神語～　　,渡瀬　悠宇　著　　　,小学館　　　　,20130718,419,2401,聖蹟桜ヶ丘店,20130718,20130722,4,2,1943
B10000,コミック,9784091326423,ショコラの魔法　　　　　　　　,みづほ　梨乃　著　　,小学館　　　　,20090701,400,2401,聖蹟桜ヶ丘店,20130417,20130406,13,2,8858
